"FlightNumber","Airline","Terminal","Gate","ScheduledTime","AircraftType"
"SAS587","SAS","3","B7","2025-07-29 15.30","A20N"
"DTR46","Danish Air","2","A7","2025-07-29 15.35","N/A"
"SAS1549","SAS","3","A6","2025-07-29 15.35","N/A"
"NOZ3402","Norwegian","2","C33","2025-07-29 15.45","N/A"
"NOZ3582","Norwegian","2","D3","2025-07-29 15.45","N/A"
"HST3674","Heston Airlines","2","A21","2025-07-29 15.50","N/A"
"NOZ3660","Norwegian","2","A8","2025-07-29 15.50","N/A"
"SAS2775","SAS","3","D101","2025-07-29 15.50","A20N"
"PGT1074","Pegasus","2","C36","2025-07-29 15.55","A21N"
"UAE152","Emirates","2","C39","2025-07-29 16.00","A388"
"QTR160","Qatar Airways","2","C29","2025-07-29 16.00","B788"
"RYR1280","Ryanair","2","F8","2025-07-29 16.05","B738"
"SAS2478","SAS","3","B4","2025-07-29 16.05","N/A"
"NOZ3302","Norwegian","2","A18","2025-07-29 16.10","N/A"
"RYR3606","Ryanair","2","F6","2025-07-29 16.15","N/A"
"BAW817","British Airways","2","C27","2025-07-29 16.20","N/A"
"NOZ3086","Norwegian","2","A20","2025-07-29 16.20","N/A"
"SAS2819","SAS","3","D2","2025-07-29 16.20","A20N"
"RYR2677","Ryanair","2","F7","2025-07-29 16.25","B738"
"SAS2777","SAS","3","B6","2025-07-29 16.25","A20N"
"SAS2823","SAS","3","A14","2025-07-29 16.25","A20N"
"NOZ3540","Norwegian","2","A22","2025-07-29 16.30","N/A"
"KLM1274","KLM","2","A17","2025-07-29 16.30","N/A"
"SAS781","SAS","3","B9","2025-07-29 16.35","A319"
"NOZ969","Norwegian","2","A4","2025-07-29 16.40","N/A"
"NOZ971","Norwegian","2","A23","2025-07-29 16.40","N/A"
"SAS1517","SAS","3","D104","2025-07-29 16.40","N/A"
"SAS2835","SAS","3","B15","2025-07-29 16.40","E195"
"ICE209","Icelandair","2","A11","2025-07-29 16.45","B38M"
"JTD2691","Jettime","3","B8","2025-07-29 16.50","N/A"
"FIN956","Finnair","2","A20","2025-07-29 17.00","E190"
"NOZ3230","Norwegian","2","A6","2025-07-29 17.00","N/A"
"RYR2725","Ryanair","2","F8","2025-07-29 17.00","B738"
"RYR2675","Ryanair","2","82","2025-07-29 17.00","N/A"
"MMD108","Air Alsie","2","A7","2025-07-29 17.00","N/A"
"BTI2449","Air Baltic","2","A9","2025-07-29 17.05","N/A"
"SAS2681","SAS","3","A12","2025-07-29 17.05","A20N"
"SAS687","SAS","3","B19","2025-07-29 17.10","A20N"
"RYR6880","Ryanair","2","82","2025-07-29 17.15","B738"
"SAS1408","SAS","3","B10","2025-07-29 17.15","A319"
"NOZ3518","Norwegian","2","C30","2025-07-29 17.25","N/A"
"SAS627","SAS","3","A15","2025-07-29 17.25","N/A"
"SAS925","SAS","3","E135","2025-07-29 17.30","A359"
"BRX1203","Braathens Regional","3","B5","2025-07-29 17.30","N/A"
"SAS1507","SAS","3","D101","2025-07-29 17.30","A20N"
"SAS2872","SAS","3","B6","2025-07-29 17.30","E195"
"NOZ3290","Norwegian","2","C27","2025-07-29 17.35","N/A"
"BAW819","British Airways","2","C36","2025-07-29 17.40","A20N"
"SAS757","SAS","3","E3","2025-07-29 17.40","AT76"
"SAS791","SAS","3","B7","2025-07-29 17.40","A20N"
"BCY1781","Cityjet","3","A21","2025-07-29 17.40","N/A"
"TAP755","TAP Air Portugal","2","A8","2025-07-29 17.40","A21N"
"AUA304","Austrian","2","A18","2025-07-29 17.45","A320"
"SAS2619","SAS","3","B4","2025-07-29 17.45","E195"
"DTR48","Danish Air","2","A7","2025-07-29 17.50","N/A"
"AFR1851","Air France","2","A11","2025-07-29 18.00","N/A"
"SAS609","SAS","3","D3","2025-07-29 18.00","CRJ9"
"BRX651","Braathens Regional","3","E7","2025-07-29 18.00","N/A"
"SAS1874","SAS","3","E6","2025-07-29 18.05","CRJ9"
"SAS2657","SAS","3","B15","2025-07-29 18.05","N/A"
"NOZ3732","Norwegian","2","A6","2025-07-29 18.10","N/A"
"JTD553","Jettime","3","B7","2025-07-29 18.10","N/A"
"SAS1759","SAS","3","B9","2025-07-29 18.10","A20N"
"SAS2537","SAS","3","D102","2025-07-29 18.10","N/A"
"BEL2260","Brussels Airlines","2","A12","2025-07-29 18.10","A319"
"JTD1777","Jettime","2","A25","2025-07-29 18.15","N/A"
"SAS1521","SAS","3","D104","2025-07-29 18.15","CRJ9"
